,group_id,seq,is_chiitoi
23,03515c537,"['E_Round' 'S_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D6m' 'LRed'
 'PGreen' 'L1p' 'P2p' 'R1s' 'A9p' 'L7s' 'P8m' 'R1p' 'A9s' 'L2m' 'P4p'
 'R1m' 'AWest' 'L1m' 'P1s' 'RGreen' 'A1m' 'L7s' 'P7s' 'R6m' 'A4m' 'LWhite'
 'A9m' 'L7m' 'P6s' 'R9s' 'ANorth' 'L8p' 'P4p']",1
24,035290681,"['E_Round' 'S_Seat' 'WU20' '2nd' 'no_riichi' '1_OR' 'D6p' 'LWest' 'P9p'
 'R1s' 'ASouth' 'LNorth' 'P8m' 'R8m' 'A1m' 'L1m' 'P3p' 'R2m' 'A2p' 'L1p'
 'PWest' 'RWest' 'A1m' 'L2s' 'P1m' 'R9p' 'AWhite' 'LRed' 'P3m' 'RWhite'
 'AEast' 'LGreen' 'P6p' 'R9m' 'A5s' 'L9m' 'P9m' 'R9s' 'A9s' 'L5s' 'PWhite'
 'RGreen' 'AWhite' 'A2m' 'P8p' 'REast' 'A9p' 'P2s' 'RRed' 'AEast' 'PNorth'
 'R2p' 'A2p' 'P3m']",1
25,035290684,"['E_Round' 'E_Seat' 'WOoA20' '3rd' 'no_riichi' '0_OR' 'D7p' 'P1p' 'R1p'
 'A9m' 'LWhite' 'PWest' 'RWhite' 'A1s' 'LRed' 'P9m' 'R9p' 'A1s' 'LGreen'
 'P8s' 'R6s' 'A2p' 'L1m' 'R5m' 'A4m' 'L3s' 'P5m' 'R3m' 'A6m' 'L5p' 'P4p'
 'R2m' 'A5p' 'LNorth' 'P8p']",1
26,038227c53,"['E_Round' 'E_Seat' 'WOoA20' '4th' 'no_riichi' '1_OR' 'D5m' 'P8m' 'RWest'
 'ASouth' 'LNorth' 'PWhite' 'R1m' 'A1s' 'LRed' 'PEast' 'R9m' 'A1m' 'L9m'
 'P3p' 'R7m' 'AEast' 'LGreen' 'P3p' 'R6m' 'AWhite' 'L7m' 'PEast' 'RWhite'
 'AGreen' 'LRed' 'P9p' 'R6s' 'ARed' 'L8m' 'P9s' 'A9m' 'LEast' 'P7s'
 'AGreen' 'L7s' 'P4s']",1
27,0382ebf73,"['E_Round' 'W_Seat' 'WOoA20' '4th' 'no_riichi' '0_OR' 'D7p' 'ANorth'
 'LRed' 'P9p' 'R9s' 'ARed' 'L4m' 'PGreen' 'R2s' 'ASouth' 'L8s' 'P9s'
 'REast' 'AWhite' 'L9s' 'P8s' 'R2p' 'A1p' 'LNorth' 'P1s' 'R1p' 'A2p' 'L2p'
 'P5s' 'R7p' 'A6s' 'LNorth' 'P4p']",1
28,038bad774,"['S_Round' 'S_Seat' 'WOoA20' '2nd' 'no_riichi' '0_OR' 'D7p' 'LWest'
 'PNorth' 'RNorth' 'A9p' 'LNorth' 'P9p' 'RWest' 'A9m' 'L9s' 'P6m' 'RSouth'
 'AEast' 'L2s' 'P2s' 'R9m' 'A9s' 'LSouth' 'P6s' 'RWhite' 'A2s' 'LGreen'
 'P4s' 'RGreen' 'A6m' 'L2p' 'P2m']",1
29,038bad775,"['S_Round' 'E_Seat' 'WOoA20' '3rd' 'no_riichi' '1_OR' 'D6p' 'P1p' 'REast'
 'ANorth' 'LWest' 'P9p' 'RWest' 'ARed' 'L9p' 'P8s' 'RNorth' 'A9m' 'LNorth'
 'P6p' 'RGreen' 'A2s' 'L9m' 'P7p' 'RSouth' 'A1p' 'L9s' 'P1p' 'R6m' 'A3m'
 'LGreen' 'P1m' 'R3s' 'A4p' 'LRed' 'P4p' 'R5p' 'A3m' 'LWhite' 'P3p' 'R7m'
 'A1m' 'L2p' 'P7s' 'R9s' 'A9p' 'LRed' 'PRed' 'RWest' 'A8p' 'LNorth'
 'PEast']",1
30,0395ca591,"['E_Round' 'S_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D9s' 'L9p' 'P3m'
 'R9m' 'A1m' 'LGreen' 'P5p' 'RRed' 'ANorth' 'L8m' 'P6s']",1
31,0395ca596,"['S_Round' 'S_Seat' 'WOoA20' '2nd' 'no_riichi' '1_OR' 'D6m' 'L1m' 'PEast'
 'R9m' 'A9m' 'L4m' 'P9s' 'R1p' 'ANorth' 'L5m' 'PSouth' 'R3m' 'A1m' 'L7p'
 'P2s' 'LEast' 'P9m' 'R1s' 'A1s' 'L6s' 'P5m' 'R1s' 'A8p' 'LSouth' 'P1m'
 'R8p' 'A6p' 'L1s' 'PSouth' 'R2p' 'A2p' 'L8m' 'P4m' 'RGreen' 'A2p' 'L3p'
 'P3m' 'R7s' 'A6m' 'L3s' 'P9p' 'A9p' 'L9m' 'P3p']",1
32,03e51e7e5,"['E_Round' 'S_Seat' 'WOoA20' '2nd' 'no_riichi' '1_OR' 'D7p' 'LSouth' 'P1m'
 'R9m' 'A9m' 'L8s' 'PGreen' 'RWest' 'AWest' 'LNorth' 'P3m' 'R1m' 'A9p'
 'L8m' 'P8s' 'RGreen' 'A2m' 'L7s' 'P4s' 'R2m' 'ASouth' 'L6p' 'P3s' 'R2p'
 'A2p' 'L9s' 'P8s' 'R7s' 'A7s' 'P8m' 'R6p' 'A8s' 'PNorth' 'R6p' 'A9s'
 'PNorth' 'R4p' 'ANorth' 'P3s']",1
