group_id,seq,is_chiitoi
0026948130,"[34, 38, 44, 62, 31, 33, 31, 9, 6, 8, 0, 33, 14, 14]",0
0026948131,"[34, 39, 44, 62, 26, 32, 3, 12, 8, 15, 4]",0
0026948132,"[34, 40, 44, 62, 28, 29, 33, 14, 6, 1]",0
0026948133,"[34, 41, 44, 62, 27, 31, 32, 30, 6, 26, 15, 29, 18]",0
0026948140,"[34, 38, 44, 78, 17, 27, 10, 21, 24, 21, 0, 26]",0
0026948141,"[34, 39, 44, 78, 30, 28, 9, 20, 29, 32, 20, 10, 18, 12, 24]",0
0026948142,"[34, 40, 44, 78, 31, 26, 9, 10, 21, 31, 20, 33]",0
0026948143,"[34, 41, 45, 78, 28, 16, 7, 5, 11, 26, 19, 30, 7, 13, 8]",0
0026948150,"[35, 38, 44, 53, 18, 32, 0, 9, 31, 33, 16, 10, 22, 31, 22, 1, 18]",0
0026948151,"[35, 39, 45, 53, 30, 17, 27, 0, 33, 26, 28, 9, 31, 2, 28, 15, 29]",0
0026948152,"[35, 40, 44, 53, 32, 32, 31, 29, 29, 9, 0, 33, 1, 15, 24]",0
0026948153,"[35, 41, 45, 53, 29, 18, 6, 33, 24, 21, 19, 30, 19, 1, 32, 30]",0
0026948160,"[35, 38, 44, 73, 30, 31, 33, 24, 11, 27, 21, 1, 24]",0
0026948161,"[35, 39, 45, 73, 30, 16, 32, 16, 33, 12, 9, 3, 18]",0
0026948162,"[35, 40, 44, 73, 32, 31, 28, 21, 17, 4, 11, 24]",0
0026948163,"[35, 41, 45, 73, 30, 32, 0, 1, 7, 17, 11, 26, 4, 30, 12, 29, 20]",0
0026948170,"[35, 38, 44, 51, 27, 31, 16, 0, 17, 17, 12, 31, 28]",0
0026948171,"[35, 39, 44, 51, 28, 17, 32, 17, 9]",0
0026948172,"[35, 40, 44, 51, 26, 15, 21, 4, 21]",0
0026948173,"[35, 41, 44, 51, 26, 2, 0, 31, 16, 23, 6, 2, 10]",0
0026948180,"[35, 38, 44, 64, 28, 32, 33, 8, 25, 27, 5]",0
0026948181,"[35, 39, 44, 64, 30, 32, 17, 27, 22, 30, 22, 8]",0
0026948182,"[35, 40, 44, 64, 29, 33, 0, 33]",0
0026948183,"[35, 41, 44, 64, 30, 28, 32, 33, 16, 9, 16, 0, 31, 20, 18, 30, 2, 29, 9, 26]",0
0026948190,"[35, 38, 44, 63, 18, 31, 29, 17]",0
0026948191,"[35, 39, 44, 63, 29, 33, 19, 22, 14]",0
0026948192,"[35, 40, 44, 63, 17, 26, 28, 1, 32, 14, 17, 31]",0
